cycle,data_mb,compute_sec,idle_sec,compute_power_w,transfer_power_w,idle_power_w,total_power_wh,energy_j,mode
0,0.1,0.0200984477996826,0.0051007270812988,2.216073691239178,0.05,0.1687232845598551,3.066963288519114e-05,0.1104106783866881,local_only
1,0.1,0.0200984477996826,0.0050628185272216,2.2181845930385524,0.05,0.16762885621361923,3.065323829650873e-05,0.11035165786743142,local_only
2,0.1,0.0200757980346679,0.0050623416900634,2.217248425354424,0.05,0.16773135177265905,3.062113788392795e-05,0.11023609638214062,local_only
3,0.1,0.0200748443603515,0.0050690174102783,2.2167928641384997,0.05,0.16792600861442497,3.062269422743045e-05,0.11024169921874963,local_only
4,0.1,0.0200746059417724,0.0050616264343261,2.217081738086329,0.05,0.16770500350208042,3.0619194110234464e-05,0.11022909879684407,local_only
5,0.1,0.0200617313385009,0.0050611495971679,2.2169090525871997,0.05,0.1677837496048034,3.060075971815308e-05,0.11016273498535109,local_only
6,0.1,0.0200581550598144,0.0050609111785888,2.2169110284274747,0.05,0.16780590895196545,3.0595580736795954e-05,0.11014409065246544,local_only
7,0.1,0.0200974941253662,0.0050976276397705,2.2162598462460705,0.05,0.1686429270036913,3.066693411933049e-05,0.11040096282958976,local_only
8,0.1,0.0200979709625244,0.0050611495971679,2.218482219929681,0.05,0.1676000589510896,3.065178129408089e-05,0.11034641265869122,local_only
9,0.1,0.0200998783111572,0.0051000118255615,2.216884134572398,0.05,0.16874930973004448,3.067113624678713e-05,0.11041609048843366,local_only
