cycle_id,model,architecture,profile,nodes,decision,threshold,local_latency_ms,offload_latency_ms,total_latency_ms,rtt_ms,throughput_fps,local_power_mw,offload_power_mw,effective_power_mw,accuracy_step
1,cnn,baseline,jetson_emulator,20,offload,0.5,45.2334,38.1059,38.1059,40.4667,27.1276,167.274,167.274,169.4336,92.7254
2,cnn,baseline,jetson_emulator,20,local,0.5,45.7558,38.5078,45.7558,48.3922,26.2772,167.274,167.274,170.5914,92.81
3,cnn,baseline,jetson_emulator,20,local,0.5,44.9873,37.6239,44.9873,46.3537,26.3602,167.274,167.274,170.7447,92.7966
4,cnn,baseline,jetson_emulator,20,offload,0.5,45.7595,37.7378,37.7378,39.1096,27.1699,167.274,167.274,169.8907,92.8237
5,cnn,baseline,jetson_emulator,20,offload,0.5,45.7728,37.4075,37.4075,39.579,27.208,167.274,167.274,170.0431,92.7452
6,cnn,baseline,jetson_emulator,20,offload,0.5,45.9389,37.5645,37.5645,39.2687,27.1898,167.274,167.274,170.1954,92.7351
7,cnn,baseline,jetson_emulator,20,offload,0.5,45.598,38.4467,38.4467,39.929,27.0885,167.274,167.274,170.3478,92.8069
8,cnn,baseline,jetson_emulator,20,offload,0.5,45.6294,37.6864,37.6864,39.6436,27.1758,167.274,167.274,170.5001,92.8352
9,cnn,baseline,jetson_emulator,20,offload,0.5,45.7942,38.2795,38.2795,40.2712,27.1077,167.274,167.274,170.6525,92.8154
10,cnn,baseline,jetson_emulator,20,local,0.5,45.8766,40.2058,45.8766,47.4988,26.2642,167.274,167.274,171.8175,92.7659
11,cnn,baseline,jetson_emulator,20,local,0.5,46.0769,39.1743,46.0769,48.2148,26.2427,167.274,167.274,171.9708,92.7125
12,cnn,baseline,jetson_emulator,20,local,0.5,45.9902,38.0059,45.9902,47.9847,26.252,167.274,167.274,172.124,92.8492
13,cnn,baseline,jetson_emulator,20,offload,0.5,47.0374,39.0138,39.0138,41.2902,27.0238,167.274,167.274,171.2619,92.8779
14,cnn,baseline,jetson_emulator,20,offload,0.5,45.9364,38.0266,38.0266,39.6105,27.1367,167.274,167.274,171.4142,92.8207
15,cnn,baseline,jetson_emulator,20,local,0.5,46.6645,38.0377,46.6645,48.4641,26.1797,167.274,167.274,172.5838,92.7737
16,cnn,baseline,jetson_emulator,20,offload,0.5,47.0397,38.1064,38.1064,40.159,27.1275,167.274,167.274,171.7189,92.7957
17,cnn,baseline,jetson_emulator,20,offload,0.5,46.4384,39.6606,39.6606,41.5204,26.9503,167.274,167.274,171.8713,92.7748
18,cnn,baseline,jetson_emulator,20,local,0.5,47.0323,38.8683,47.0323,48.7063,26.1405,167.274,167.274,173.0435,92.7695
19,cnn,baseline,jetson_emulator,20,local,0.5,46.8938,38.7596,46.8938,48.382,26.1553,167.274,167.274,173.1968,92.8908
20,cnn,baseline,jetson_emulator,20,offload,0.5,47.041,38.9091,38.9091,40.2542,27.0357,167.274,167.274,172.3284,92.7327
21,cnn,baseline,jetson_emulator,20,offload,0.5,46.7221,39.0993,39.0993,41.4203,27.0141,167.274,167.274,172.4807,92.8073
22,cnn,baseline,jetson_emulator,20,offload,0.5,47.7138,39.2108,39.2108,40.985,27.0014,167.274,167.274,172.6331,92.8672
23,cnn,baseline,jetson_emulator,20,local,0.5,46.9688,38.8403,46.9688,48.0687,26.1473,167.274,167.274,173.8098,92.8666
