cycle_id,model,architecture,profile,nodes,decision,threshold,local_latency_ms,offload_latency_ms,total_latency_ms,rtt_ms,throughput_fps,local_power_mw,offload_power_mw,effective_power_mw,accuracy_step
1,snn,baseline,jetson_emulator,20,local,0.5,37.7639,32.0071,37.7639,39.6721,71.9124,112.06483125000001,112.06483125000001,114.1847,89.9657
2,snn,baseline,jetson_emulator,20,offload,0.5,37.5339,31.3467,31.3467,33.7223,74.2528,112.06483125000001,112.06483125000001,113.6137,90.0389
3,snn,baseline,jetson_emulator,20,local,0.5,37.8726,32.2915,37.8726,39.4841,71.874,112.06483125000001,112.06483125000001,114.39,90.0792
4,snn,baseline,jetson_emulator,20,local,0.5,37.8017,31.5619,37.8017,40.0396,71.899,112.06483125000001,112.06483125000001,114.4927,89.988
5,snn,baseline,jetson_emulator,20,local,0.5,38.2208,31.3955,38.2208,39.6395,71.7513,112.06483125000001,112.06483125000001,114.5954,89.9185
6,snn,baseline,jetson_emulator,20,offload,0.5,38.3059,32.2869,32.2869,34.3392,73.9004,112.06483125000001,112.06483125000001,114.022,89.9787
7,snn,baseline,jetson_emulator,20,local,0.5,38.1829,32.4132,38.1829,40.6334,71.7647,112.06483125000001,112.06483125000001,114.8007,90.0085
8,snn,baseline,jetson_emulator,20,offload,0.5,38.948,31.6864,31.6864,33.4755,74.1251,112.06483125000001,112.06483125000001,114.2262,89.9646
9,snn,baseline,jetson_emulator,20,local,0.5,38.9761,31.7759,38.9761,40.5021,71.4867,112.06483125000001,112.06483125000001,115.0061,90.0026
10,snn,baseline,jetson_emulator,20,offload,0.5,38.8043,31.51,31.51,33.6226,74.1913,112.06483125000001,112.06483125000001,114.4303,89.9916
11,snn,baseline,jetson_emulator,20,offload,0.5,38.5654,32.4813,32.4813,34.423,73.828,112.06483125000001,112.06483125000001,114.5324,90.0942
12,snn,baseline,jetson_emulator,20,offload,0.5,38.8154,31.6764,31.6764,33.7032,74.1288,112.06483125000001,112.06483125000001,114.6344,89.8921
13,snn,baseline,jetson_emulator,20,local,0.5,38.7265,33.1236,38.7265,41.0559,71.574,112.06483125000001,112.06483125000001,115.4168,90.0923
14,snn,baseline,jetson_emulator,20,offload,0.5,38.9007,31.8161,31.8161,33.7022,74.0764,112.06483125000001,112.06483125000001,114.8386,90.0113
15,snn,baseline,jetson_emulator,20,offload,0.5,38.6585,32.3784,32.3784,34.0128,73.8663,112.06483125000001,112.06483125000001,114.9406,90.0138
16,snn,baseline,jetson_emulator,20,offload,0.5,38.9265,32.5733,32.5733,34.0004,73.7937,112.06483125000001,112.06483125000001,115.0427,90.0569
17,snn,baseline,jetson_emulator,20,offload,0.5,39.2815,32.3734,32.3734,34.5081,73.8682,112.06483125000001,112.06483125000001,115.1448,90.0005
18,snn,baseline,jetson_emulator,20,offload,0.5,39.0033,33.3474,33.3474,35.6677,73.5069,112.06483125000001,112.06483125000001,115.2468,90.0002
19,snn,baseline,jetson_emulator,20,offload,0.5,38.7505,32.3164,32.3164,34.7864,73.8894,112.06483125000001,112.06483125000001,115.3489,90.0156
20,snn,baseline,jetson_emulator,20,offload,0.5,39.018,32.3374,32.3374,34.721,73.8816,112.06483125000001,112.06483125000001,115.451,89.9539
21,snn,baseline,jetson_emulator,20,local,0.5,38.9932,33.2506,38.9932,40.8298,71.4808,112.06483125000001,112.06483125000001,116.2381,90.0888
22,snn,baseline,jetson_emulator,20,offload,0.5,39.4097,32.2176,32.2176,34.2523,73.9263,112.06483125000001,112.06483125000001,115.6551,90.0268
23,snn,baseline,jetson_emulator,20,local,0.5,39.7937,32.6128,39.7937,41.3093,71.2025,112.06483125000001,112.06483125000001,116.4435,89.9694
24,snn,baseline,jetson_emulator,20,local,0.5,39.1873,32.5803,39.1873,40.9009,71.4131,112.06483125000001,112.06483125000001,116.5462,89.9612
25,snn,baseline,jetson_emulator,20,local,0.5,40.6339,32.4694,40.6339,42.3451,70.9127,112.06483125000001,112.06483125000001,116.6488,90.1391
26,snn,baseline,jetson_emulator,20,local,0.5,39.4765,32.8225,39.4765,41.5245,71.3125,112.06483125000001,112.06483125000001,116.7515,90.0603
27,snn,baseline,jetson_emulator,20,local,0.5,39.3986,33.3175,39.3986,40.7604,71.3396,112.06483125000001,112.06483125000001,116.8542,89.9616
28,snn,baseline,jetson_emulator,20,local,0.5,40.2771,33.6735,40.2771,41.5247,71.0355,112.06483125000001,112.06483125000001,116.9569,89.9143
29,snn,baseline,jetson_emulator,20,local,0.5,40.0896,32.9312,40.0896,41.8639,71.1002,112.06483125000001,112.06483125000001,117.0595,89.9801
30,snn,baseline,jetson_emulator,20,local,0.5,39.7567,33.482,39.7567,41.3797,71.2153,112.06483125000001,112.06483125000001,117.1622,89.9609
31,snn,baseline,jetson_emulator,20,offload,0.5,39.8297,32.7664,32.7664,34.1443,73.722,112.06483125000001,112.06483125000001,116.5737,90.092
32,snn,baseline,jetson_emulator,20,local,0.5,40.2534,33.57,40.2534,41.7507,71.0437,112.06483125000001,112.06483125000001,117.3676,89.9643
33,snn,baseline,jetson_emulator,20,local,0.5,39.926,33.1643,39.926,41.5336,71.1567,112.06483125000001,112.06483125000001,117.4702,90.0194
34,snn,baseline,jetson_emulator,20,offload,0.5,40.0857,33.8113,33.8113,35.7151,73.3361,112.06483125000001,112.06483125000001,116.8799,90.0558
35,snn,baseline,jetson_emulator,20,offload,0.5,39.7837,33.5314,33.5314,34.6502,73.4391,112.06483125000001,112.06483125000001,116.982,90.0112
36,snn,baseline,jetson_emulator,20,offload,0.5,39.8776,33.5031,33.5031,35.5215,73.4495,112.06483125000001,112.06483125000001,117.0841,89.9687
37,snn,baseline,jetson_emulator,20,local,0.5,39.8863,33.0557,39.8863,41.7704,71.1704,112.06483125000001,112.06483125000001,117.8809,90.0385
38,snn,baseline,jetson_emulator,20,local,0.5,40.9362,34.1832,40.9362,42.5808,70.8091,112.06483125000001,112.06483125000001,117.9836,90.0377
39,snn,baseline,jetson_emulator,20,local,0.5,40.0254,35.2055,40.0254,41.5612,71.1224,112.06483125000001,112.06483125000001,118.0863,90.0045
40,snn,baseline,jetson_emulator,20,offload,0.5,40.3278,33.2282,33.2282,35.9516,73.5509,112.06483125000001,112.06483125000001,117.4924,89.9035
41,snn,baseline,jetson_emulator,20,offload,0.5,40.7246,33.8637,33.8637,35.4692,73.3169,112.06483125000001,112.06483125000001,117.5944,90.0074
42,snn,baseline,jetson_emulator,20,offload,0.5,40.4164,33.4675,33.4675,35.4979,73.4626,112.06483125000001,112.06483125000001,117.6965,89.9759
43,snn,baseline,jetson_emulator,20,local,0.5,41.3608,34.791,41.3608,43.9965,70.664,112.06483125000001,112.06483125000001,118.497,90.0274
44,snn,baseline,jetson_emulator,20,local,0.5,40.4341,33.9556,40.4341,41.7416,70.9814,112.06483125000001,112.06483125000001,118.5996,89.9913
