cycle_id,model,architecture,profile,nodes,decision,threshold,local_latency_ms,offload_latency_ms,total_latency_ms,rtt_ms,throughput_fps,local_power_mw,offload_power_mw,effective_power_mw,accuracy_step
1,cnn,nsson,jetson_emulator,10,offload,0.48998429887163164,44.2601,31.7468,31.7468,32.7762,30.9793,167.274,167.274,156.6391,92.9433
2,cnn,nsson,jetson_emulator,10,local,0.48283189577730234,44.7531,32.924,44.7531,45.9981,29.6677,167.274,167.274,157.2474,92.8019
3,cnn,nsson,jetson_emulator,10,local,0.4797570589103968,44.3179,31.5779,44.3179,45.6348,29.7231,167.274,167.274,157.3887,92.8946
4,cnn,nsson,jetson_emulator,10,offload,0.47605320000291645,44.4751,32.321,32.321,34.129,30.9793,167.274,167.274,157.0616,92.9081
5,cnn,nsson,jetson_emulator,10,local,0.47266495941343345,44.9036,32.9126,44.9036,46.6321,29.6486,167.274,167.274,157.6712,93.0092
6,cnn,nsson,jetson_emulator,10,local,0.46733695855970564,44.3922,32.1441,44.3922,47.0409,29.7136,167.274,167.274,157.8125,92.8683
7,cnn,nsson,jetson_emulator,10,local,0.4680249921624636,44.947,33.7538,44.947,47.3733,29.6431,167.274,167.274,157.9538,92.9352
8,cnn,nsson,jetson_emulator,10,offload,0.4688902966637329,45.8515,32.5967,32.5967,35.0498,30.9793,167.274,167.274,157.625,92.9639
9,cnn,nsson,jetson_emulator,10,local,0.46428363814940904,45.2513,32.6586,45.2513,46.7136,29.6045,167.274,167.274,158.2363,92.9613
10,cnn,nsson,jetson_emulator,10,offload,0.4578600308511113,44.8261,32.4431,32.4431,34.6297,30.9793,167.274,167.274,157.9067,92.9809
11,cnn,nsson,jetson_emulator,10,local,0.4548947831548236,45.8113,32.0726,45.8113,47.9036,29.5338,167.274,167.274,158.5189,92.9006
12,cnn,nsson,jetson_emulator,10,offload,0.45982884380771305,45.3929,32.2442,32.2442,34.1728,30.9793,167.274,167.274,158.1884,92.89
13,cnn,nsson,jetson_emulator,10,local,0.4627400251169043,45.6307,33.5879,45.6307,47.4298,29.5566,167.274,167.274,158.8014,92.9472
14,cnn,nsson,jetson_emulator,10,local,0.4561292396608091,45.8256,32.8406,45.8256,48.211,29.532,167.274,167.274,158.9427,92.8822
15,cnn,nsson,jetson_emulator,10,offload,0.46062186185554654,45.2294,32.3799,32.3799,34.9338,30.9793,167.274,167.274,158.6109,92.9452
16,cnn,nsson,jetson_emulator,10,local,0.4536129859189326,46.2602,33.6313,46.2602,48.1953,29.4774,167.274,167.274,159.2252,92.8884
17,cnn,nsson,jetson_emulator,10,local,0.4595449751730336,45.4697,32.4835,45.4697,46.7096,29.5769,167.274,167.274,159.3665,92.9434
18,cnn,nsson,jetson_emulator,10,local,0.44658938653360747,45.8861,33.0451,45.8861,47.3123,29.5244,167.274,167.274,159.5077,92.8707
19,cnn,nsson,jetson_emulator,10,local,0.4372682615972632,45.6266,33.7233,45.6266,47.4894,29.5571,167.274,167.274,159.649,92.9676
20,cnn,nsson,jetson_emulator,10,offload,0.44081186732068484,46.6795,32.8587,32.8587,34.9307,30.9793,167.274,167.274,159.3152,92.9075
21,cnn,nsson,jetson_emulator,10,local,0.43596414940558476,45.7796,32.7786,45.7796,48.1295,29.5378,167.274,167.274,159.9315,92.922
22,cnn,nsson,jetson_emulator,10,local,0.4395908219780371,45.9844,32.7634,45.9844,47.1823,29.512,167.274,167.274,160.0728,92.8047
23,cnn,nsson,jetson_emulator,10,offload,0.43220847175505556,45.9018,34.0599,34.0599,35.7943,30.9793,167.274,167.274,159.7377,92.8661
24,cnn,nsson,jetson_emulator,10,offload,0.43676872614480333,47.3663,33.2099,33.2099,35.3497,30.9793,167.274,167.274,159.8786,92.8168
25,cnn,nsson,jetson_emulator,10,local,0.43622841072968743,45.9921,33.7263,45.9921,48.3717,29.511,167.274,167.274,160.4966,92.9102
26,cnn,nsson,jetson_emulator,10,offload,0.4422097447367543,46.5012,34.9565,34.9565,36.6003,30.9793,167.274,167.274,160.1603,92.836
27,cnn,nsson,jetson_emulator,10,local,0.4417724054701273,46.6645,33.6693,46.6645,48.2328,29.4267,167.274,167.274,160.7792,92.8985
28,cnn,nsson,jetson_emulator,10,offload,0.44430005286592106,46.6109,33.3971,33.3971,35.9661,30.9793,167.274,167.274,160.442,92.9707
29,cnn,nsson,jetson_emulator,10,offload,0.44158629420393675,46.4555,33.1451,33.1451,34.0746,30.9793,167.274,167.274,160.5828,92.9418
30,cnn,nsson,jetson_emulator,10,local,0.43662771437363784,46.6749,33.6164,46.6749,48.1098,29.4254,167.274,167.274,161.203,92.9339
31,cnn,nsson,jetson_emulator,10,local,0.43868507779606397,46.5872,34.0933,46.5872,47.6256,29.4364,167.274,167.274,161.3442,92.9125
32,cnn,nsson,jetson_emulator,10,local,0.43761136512981214,47.3188,33.5074,47.3188,48.9469,29.3452,167.274,167.274,161.4855,92.9355
33,cnn,nsson,jetson_emulator,10,offload,0.4402357428361848,47.2267,34.6813,34.6813,35.918,30.9793,167.274,167.274,161.1462,93.0006
34,cnn,nsson,jetson_emulator,10,offload,0.4378450886798755,47.3244,33.8664,33.8664,36.2759,30.9793,167.274,167.274,161.2871,92.8973
35,cnn,nsson,jetson_emulator,10,offload,0.4344301740061306,47.393,34.1727,34.1727,36.6345,30.9793,167.274,167.274,161.4279,92.9113
36,cnn,nsson,jetson_emulator,10,offload,0.4362913848672809,47.0435,34.2594,34.2594,35.3721,30.9793,167.274,167.274,161.5688,92.9316
37,cnn,nsson,jetson_emulator,10,local,0.4468065197961536,46.8497,33.7983,46.8497,48.5286,29.4036,167.274,167.274,162.1918,92.9185
38,cnn,nsson,jetson_emulator,10,offload,0.4476739173392614,46.8513,33.669,33.669,35.0365,30.9793,167.274,167.274,161.8504,92.8412
39,cnn,nsson,jetson_emulator,10,offload,0.45048965053519574,47.3978,33.6682,33.6682,34.9418,30.9793,167.274,167.274,161.9913,92.8623
40,cnn,nsson,jetson_emulator,10,offload,0.4479528644276039,47.1795,33.6906,33.6906,35.1571,30.9793,167.274,167.274,162.1321,92.8443
41,cnn,nsson,jetson_emulator,10,offload,0.4515373114515496,47.4895,34.9071,34.9071,36.2409,30.9793,167.274,167.274,162.273,92.9443
42,cnn,nsson,jetson_emulator,10,local,0.45448310011410986,47.9636,34.8437,47.9636,49.415,29.2652,167.274,167.274,162.8982,92.9442
43,cnn,nsson,jetson_emulator,10,offload,0.45899748692284326,47.228,34.4256,34.4256,36.1882,30.9793,167.274,167.274,162.5547,92.9101
44,cnn,nsson,jetson_emulator,10,offload,0.45695576573808866,48.1942,33.789,33.789,35.6398,30.9793,167.274,167.274,162.6955,92.753
45,cnn,nsson,jetson_emulator,10,local,0.46173831314236624,47.532,34.6152,47.532,49.0329,29.3187,167.274,167.274,163.322,92.8946
46,cnn,nsson,jetson_emulator,10,local,0.4619090017115049,47.3564,34.3321,47.3564,49.2914,29.3405,167.274,167.274,163.4633,92.8622
47,cnn,nsson,jetson_emulator,10,offload,0.4553047778841158,47.6869,34.0645,34.0645,36.1627,30.9793,167.274,167.274,163.1181,92.8257
48,cnn,nsson,jetson_emulator,10,local,0.45900950085958214,48.2384,34.6835,48.2384,49.9589,29.2313,167.274,167.274,163.7458,92.9711
49,cnn,nsson,jetson_emulator,10,local,0.45214194893542636,47.6736,34.8066,47.6736,49.0296,29.3011,167.274,167.274,163.8871,92.9182
50,cnn,nsson,jetson_emulator,10,local,0.4471530707053222,48.1529,34.3459,48.1529,49.2489,29.2418,167.274,167.274,164.0283,92.9143
51,cnn,nsson,jetson_emulator,10,offload,0.44722041000699164,48.2282,34.1434,34.1434,35.0915,30.9793,167.274,167.274,163.6815,92.8487
52,cnn,nsson,jetson_emulator,10,local,0.4422685880845622,48.069,34.5061,48.069,49.7292,29.2522,167.274,167.274,164.3109,92.9705
53,cnn,nsson,jetson_emulator,10,local,0.44781890574878935,47.9824,34.5556,47.9824,49.7707,29.2629,167.274,167.274,164.4521,92.8962
54,cnn,nsson,jetson_emulator,10,offload,0.44908573154702935,47.9088,34.3304,34.3304,37.1396,30.9793,167.274,167.274,164.104,92.7969
55,cnn,nsson,jetson_emulator,10,offload,0.4504494678804251,48.3326,34.6709,34.6709,36.8092,30.9793,167.274,167.274,164.2449,92.8515
56,cnn,nsson,jetson_emulator,10,offload,0.44927646332594245,47.9363,34.5006,34.5006,36.52,30.9793,167.274,167.274,164.3857,92.993
57,cnn,nsson,jetson_emulator,10,offload,0.45996932466670715,48.0185,35.0338,35.0338,37.5008,30.9793,167.274,167.274,164.5266,92.8872
58,cnn,nsson,jetson_emulator,10,offload,0.4681435970488479,48.1161,34.495,34.495,36.1415,30.9793,167.274,167.274,164.6674,92.9436
59,cnn,nsson,jetson_emulator,10,offload,0.46942085492300883,48.1392,34.9203,34.9203,36.9441,30.9793,167.274,167.274,164.8083,92.894
60,cnn,nsson,jetson_emulator,10,offload,0.47091562176450796,48.3756,35.0658,35.0658,36.6435,30.9793,167.274,167.274,164.9491,92.8401
61,cnn,nsson,jetson_emulator,10,offload,0.4669460228835415,48.2156,35.3884,35.3884,37.7708,30.9793,167.274,167.274,165.09,92.9478
62,cnn,nsson,jetson_emulator,10,local,0.4640241297505606,48.1387,34.7381,48.1387,50.0426,29.2436,167.274,167.274,165.7235,92.9505
63,cnn,nsson,jetson_emulator,10,offload,0.46856171422113424,48.7285,36.1515,36.1515,37.8464,30.9793,167.274,167.274,165.3717,93.0033
64,cnn,nsson,jetson_emulator,10,offload,0.4727638751555082,48.4358,34.7395,34.7395,36.8602,30.9793,167.274,167.274,165.5125,92.8739
65,cnn,nsson,jetson_emulator,10,local,0.46981088173470786,48.2909,34.9766,48.2909,50.4644,29.2248,167.274,167.274,166.1474,92.7933
66,cnn,nsson,jetson_emulator,10,offload,0.4651931859796438,48.9052,35.8757,35.8757,38.3579,30.9793,167.274,167.274,165.7942,92.9322
67,cnn,nsson,jetson_emulator,10,offload,0.4576103405672854,48.8565,34.7814,34.7814,36.474,30.9793,167.274,167.274,165.9351,92.8866
68,cnn,nsson,jetson_emulator,10,local,0.4592409805463595,49.2377,35.5899,49.2377,52.0134,29.1085,167.274,167.274,166.5712,93.0452
69,cnn,nsson,jetson_emulator,10,offload,0.4537177034648011,48.4773,35.0717,35.0717,36.1606,30.9793,167.274,167.274,166.2167,92.8582
70,cnn,nsson,jetson_emulator,10,offload,0.45512213290921716,49.6649,34.7962,34.7962,36.2485,30.9793,167.274,167.274,166.3576,92.8857
71,cnn,nsson,jetson_emulator,10,offload,0.4637317853097186,49.6283,35.6337,35.6337,37.4022,30.9793,167.274,167.274,166.4984,92.8692
72,cnn,nsson,jetson_emulator,10,local,0.46955214794759476,48.4594,34.7356,48.4594,50.0334,29.204,167.274,167.274,167.1362,92.8472
73,cnn,nsson,jetson_emulator,10,local,0.45548024719146785,49.1027,35.4786,49.1027,50.8619,29.125,167.274,167.274,167.2775,92.8649
74,cnn,nsson,jetson_emulator,10,offload,0.45276793283560773,48.5207,35.5132,35.5132,37.8222,30.9793,167.274,167.274,166.921,92.9183
75,cnn,nsson,jetson_emulator,10,offload,0.4396996435879424,48.7391,35.7853,35.7853,37.2814,30.9793,167.274,167.274,167.0618,93.0054
76,cnn,nsson,jetson_emulator,10,offload,0.44029186242475454,48.9638,35.9639,35.9639,38.3912,30.9793,167.274,167.274,167.2027,92.9826
77,cnn,nsson,jetson_emulator,10,offload,0.44208292495011337,48.7403,36.3001,36.3001,37.6496,30.9793,167.274,167.274,167.3435,92.9308
78,cnn,nsson,jetson_emulator,10,offload,0.4467809582231279,48.8394,34.7922,34.7922,35.9646,30.9793,167.274,167.274,167.4844,92.9329
79,cnn,nsson,jetson_emulator,10,local,0.4374082207775103,49.2686,35.5489,49.2686,51.5972,29.1047,167.274,167.274,168.1251,92.9095
80,cnn,nsson,jetson_emulator,10,local,0.4352821723263645,48.7704,34.8309,48.7704,50.9158,29.1658,167.274,167.274,168.2664,92.9295
81,cnn,nsson,jetson_emulator,10,offload,0.4407290283401199,49.4053,35.4197,35.4197,36.9344,30.9793,167.274,167.274,167.9069,92.8989
82,cnn,nsson,jetson_emulator,10,offload,0.4416993136879265,49.2228,37.1923,37.1923,39.3485,30.9793,167.274,167.274,168.0478,92.9275
83,cnn,nsson,jetson_emulator,10,local,0.44202640874405047,49.1144,35.1309,49.1144,50.1082,29.1236,167.274,167.274,168.6902,92.9662
84,cnn,nsson,jetson_emulator,10,local,0.44426241325002025,49.4361,35.6663,49.4361,51.0388,29.0842,167.274,167.274,168.8315,92.9093
85,cnn,nsson,jetson_emulator,10,offload,0.44588837253039265,49.3634,36.3805,36.3805,38.2413,30.9793,167.274,167.274,168.4703,92.759
86,cnn,nsson,jetson_emulator,10,offload,0.44701906517820045,49.0117,36.1703,36.1703,37.3758,30.9793,167.274,167.274,168.6112,92.988
87,cnn,nsson,jetson_emulator,10,local,0.4547622356187205,49.2633,35.3368,49.2633,51.3636,29.1054,167.274,167.274,169.2553,92.9453
88,cnn,nsson,jetson_emulator,10,local,0.45081644647176466,49.0499,35.5928,49.0499,51.3598,29.1315,167.274,167.274,169.3965,92.9774
89,cnn,nsson,jetson_emulator,10,offload,0.46125274476877137,48.8495,35.6143,35.6143,37.1323,30.9793,167.274,167.274,169.0337,92.9555
90,cnn,nsson,jetson_emulator,10,local,0.4597888960087922,49.6932,35.0494,49.6932,51.4007,29.0529,167.274,167.274,169.6791,92.909
91,cnn,nsson,jetson_emulator,10,offload,0.44955337092755704,48.7567,35.17,35.17,36.3523,30.9793,167.274,167.274,169.3154,93.0163
92,cnn,nsson,jetson_emulator,10,local,0.4488494563284259,49.0306,35.195,49.0306,50.2786,29.1338,167.274,167.274,169.9616,92.8636
93,cnn,nsson,jetson_emulator,10,local,0.44351238824418465,48.9475,36.3792,48.9475,50.4861,29.144,167.274,167.274,170.1029,92.9266
94,cnn,nsson,jetson_emulator,10,local,0.4428406739357451,49.017,35.8223,49.017,50.5088,29.1355,167.274,167.274,170.2441,92.8765
95,cnn,nsson,jetson_emulator,10,offload,0.43138246507044026,48.7815,35.2721,35.2721,37.36,30.9793,167.274,167.274,169.8788,92.9301
96,cnn,nsson,jetson_emulator,10,local,0.4321318429828017,48.9349,34.9341,48.9349,50.1346,29.1456,167.274,167.274,170.5267,92.9461
97,cnn,nsson,jetson_emulator,10,offload,0.43228237375331297,49.6572,35.6949,35.6949,37.1427,30.9793,167.274,167.274,170.1605,92.9152
98,cnn,nsson,jetson_emulator,10,offload,0.43578239547945125,49.3236,35.6404,35.6404,37.1162,30.9793,167.274,167.274,170.3014,92.7672
99,cnn,nsson,jetson_emulator,10,local,0.4309602257448264,48.8709,35.7408,48.8709,50.1757,29.1534,167.274,167.274,170.9505,92.9092
100,cnn,nsson,jetson_emulator,10,offload,0.42612373956186045,48.9545,35.0196,35.0196,36.2569,30.9793,167.274,167.274,170.583,92.975
101,cnn,nsson,jetson_emulator,10,local,0.4219097427326666,48.7005,35.365,48.7005,50.6757,29.1744,167.274,167.274,171.233,92.9854
102,cnn,nsson,jetson_emulator,10,offload,0.41685214118498093,49.2999,35.5531,35.5531,37.8455,30.9793,167.274,167.274,170.8647,92.9559
103,cnn,nsson,jetson_emulator,10,local,0.4169493110463329,48.8422,35.202,48.8422,50.9937,29.157,167.274,167.274,171.5155,92.8984
104,cnn,nsson,jetson_emulator,10,offload,0.42117162193752056,48.7998,35.4029,35.4029,37.3479,30.9793,167.274,167.274,171.1464,92.9041
105,cnn,nsson,jetson_emulator,10,offload,0.41462907584606956,49.2745,35.8646,35.8646,37.9089,30.9793,167.274,167.274,171.2873,92.8597
106,cnn,nsson,jetson_emulator,10,offload,0.414986449678454,49.1024,36.1982,36.1982,37.5952,30.9793,167.274,167.274,171.4281,92.9022
107,cnn,nsson,jetson_emulator,10,local,0.4064043832724359,48.7546,35.2326,48.7546,50.4503,29.1677,167.274,167.274,172.0806,92.9053
108,cnn,nsson,jetson_emulator,10,local,0.41102847589068886,49.1931,35.4226,49.1931,50.028,29.114,167.274,167.274,172.2219,92.9662
109,cnn,nsson,jetson_emulator,10,local,0.40994844659623714,49.8567,34.9883,49.8567,52.0651,29.033,167.274,167.274,172.3632,92.9891
110,cnn,nsson,jetson_emulator,10,offload,0.41190216020527737,48.5756,35.091,35.091,37.2193,30.9793,167.274,167.274,171.9915,92.862
111,cnn,nsson,jetson_emulator,10,offload,0.41099551392401995,48.683,35.2128,35.2128,37.5721,30.9793,167.274,167.274,172.1324,92.9108
112,cnn,nsson,jetson_emulator,10,offload,0.41519721759653094,49.0452,35.2448,35.2448,37.3,30.9793,167.274,167.274,172.2732,92.8612
113,cnn,nsson,jetson_emulator,10,offload,0.4209603635957801,48.5405,35.9486,35.9486,38.5581,30.9793,167.274,167.274,172.4141,92.8094
114,cnn,nsson,jetson_emulator,10,local,0.4236030788863323,49.0517,34.7554,49.0517,51.1629,29.1313,167.274,167.274,173.0695,93.0139
115,cnn,nsson,jetson_emulator,10,offload,0.41730864998105455,48.8298,34.9793,34.9793,37.2784,30.9793,167.274,167.274,172.6958,92.9128
116,cnn,nsson,jetson_emulator,10,offload,0.4243539053742541,48.508,35.8378,35.8378,36.8884,30.9793,167.274,167.274,172.8366,92.8835
117,cnn,nsson,jetson_emulator,10,offload,0.4284955758693015,48.7985,34.6529,34.6529,36.7217,30.9793,167.274,167.274,172.9775,92.8692
118,cnn,nsson,jetson_emulator,10,offload,0.42638042317452113,48.9554,36.0392,36.0392,37.6382,30.9793,167.274,167.274,173.1183,92.891
119,cnn,nsson,jetson_emulator,10,offload,0.42854180341632503,49.049,34.9115,34.9115,36.3512,30.9793,167.274,167.274,173.2592,92.9384
120,cnn,nsson,jetson_emulator,10,local,0.4457656842553095,48.4393,34.9823,48.4393,49.6836,29.2065,167.274,167.274,173.9171,92.9068
121,cnn,nsson,jetson_emulator,10,local,0.44882353150160614,48.9662,35.4351,48.9662,50.6264,29.1417,167.274,167.274,174.0584,92.9616
122,cnn,nsson,jetson_emulator,10,offload,0.461216830935967,48.6762,34.8565,34.8565,37.2677,30.9793,167.274,167.274,173.6817,92.946
123,cnn,nsson,jetson_emulator,10,offload,0.46764655057720733,49.4169,36.0371,36.0371,38.2092,30.9793,167.274,167.274,173.8226,92.9392
124,cnn,nsson,jetson_emulator,10,local,0.4686419226180303,49.1163,35.1154,49.1163,50.8344,29.1233,167.274,167.274,174.4822,92.9896
125,cnn,nsson,jetson_emulator,10,offload,0.46917147386212266,48.2799,35.1793,35.1793,37.3417,30.9793,167.274,167.274,174.1043,92.8518
126,cnn,nsson,jetson_emulator,10,local,0.4753365788314806,48.3892,34.7627,48.3892,49.678,29.2127,167.274,167.274,174.7647,92.9645
127,cnn,nsson,jetson_emulator,10,local,0.46937483146340586,48.3254,34.8094,48.3254,49.9605,29.2205,167.274,167.274,174.906,92.9013
128,cnn,nsson,jetson_emulator,10,local,0.4803746322432055,49.0651,35.1169,49.0651,50.7986,29.1296,167.274,167.274,175.0473,92.8655
129,cnn,nsson,jetson_emulator,10,local,0.48181203355054686,48.8549,35.6624,48.8549,50.9295,29.1554,167.274,167.274,175.1885,92.8969
130,cnn,nsson,jetson_emulator,10,offload,0.4933841656909764,48.1404,34.8774,34.8774,36.4814,30.9793,167.274,167.274,174.8085,92.9145
131,cnn,nsson,jetson_emulator,10,local,0.4867812583687766,48.2751,35.068,48.2751,50.1268,29.2267,167.274,167.274,175.4711,92.9051
132,cnn,nsson,jetson_emulator,10,offload,0.474835223403571,48.1994,35.3262,35.3262,36.8043,30.9793,167.274,167.274,175.0902,92.9804
133,cnn,nsson,jetson_emulator,10,offload,0.46858633606636313,48.7483,34.6653,34.6653,36.4989,30.9793,167.274,167.274,175.231,93.0073
134,cnn,nsson,jetson_emulator,10,offload,0.4717549042155952,49.0145,35.1449,35.1449,37.3215,30.9793,167.274,167.274,175.3719,92.8588
135,cnn,nsson,jetson_emulator,10,offload,0.47524504291481057,48.3682,35.3309,35.3309,36.4787,30.9793,167.274,167.274,175.5127,92.8658
136,cnn,nsson,jetson_emulator,10,offload,0.47171950164480286,48.9125,34.6982,34.6982,36.5617,30.9793,167.274,167.274,175.6536,92.9039
137,cnn,nsson,jetson_emulator,10,offload,0.4739912906548551,48.4236,34.4717,34.4717,36.7605,30.9793,167.274,167.274,175.7944,92.877
138,cnn,nsson,jetson_emulator,10,local,0.47028505723734093,48.0983,34.8647,48.0983,49.9848,29.2486,167.274,167.274,176.4599,92.9381
139,cnn,nsson,jetson_emulator,10,offload,0.46845939670392284,47.9761,34.7274,34.7274,36.7169,30.9793,167.274,167.274,176.0761,92.9069
140,cnn,nsson,jetson_emulator,10,offload,0.46793823349928676,48.0597,34.8194,34.8194,37.5147,30.9793,167.274,167.274,176.217,92.9714
141,cnn,nsson,jetson_emulator,10,local,0.47187455308992843,47.7467,34.1675,47.7467,50.1758,29.292,167.274,167.274,176.8837,92.8339
142,cnn,nsson,jetson_emulator,10,offload,0.4671444101599474,48.0513,34.798,34.798,36.1492,30.9793,167.274,167.274,176.4987,92.8692
143,cnn,nsson,jetson_emulator,10,local,0.4776089172338185,48.3163,34.9183,48.3163,50.2039,29.2217,167.274,167.274,177.1663,92.9484
144,cnn,nsson,jetson_emulator,10,local,0.4810447619449925,48.0304,35.0244,48.0304,49.2567,29.2569,167.274,167.274,177.3076,92.7939
145,cnn,nsson,jetson_emulator,10,local,0.47445333048913635,48.0767,34.132,48.0767,49.8418,29.2512,167.274,167.274,177.4488,92.9242
146,cnn,nsson,jetson_emulator,10,offload,0.4613123749079719,48.2013,35.2587,35.2587,36.9372,30.9793,167.274,167.274,177.0621,92.899
147,cnn,nsson,jetson_emulator,10,offload,0.47185868483941845,47.741,35.6867,35.6867,36.9187,30.9793,167.274,167.274,177.2029,92.9473
148,cnn,nsson,jetson_emulator,10,local,0.47519824973293967,48.7565,35.0786,48.7565,50.8427,29.1675,167.274,167.274,177.8726,92.8708
