cycle_id,model,architecture,profile,nodes,decision,threshold,local_latency_ms,offload_latency_ms,total_latency_ms,rtt_ms,throughput_fps,local_power_mw,offload_power_mw,effective_power_mw,accuracy_step
1,snn,nsson,jetson_emulator,100,offload,0.5019112729943949,42.5561,31.9533,31.9533,34.4189,62.1682,112.06483125000001,112.06483125000001,110.5729,90.1506
2,snn,nsson,jetson_emulator,100,local,0.49191553715552905,42.7267,30.6406,42.7267,44.9273,57.9734,112.06483125000001,112.06483125000001,113.8046,90.029
3,snn,nsson,jetson_emulator,100,local,0.4956928083066762,42.3687,31.494,42.3687,44.3437,58.0496,112.06483125000001,112.06483125000001,113.9068,90.1526
4,snn,nsson,jetson_emulator,100,offload,0.488350204716309,43.2381,30.6511,30.6511,33.535,62.4788,112.06483125000001,112.06483125000001,110.8712,90.1364
5,snn,nsson,jetson_emulator,100,local,0.48184619908232484,42.7335,30.8812,42.7335,45.5898,57.972,112.06483125000001,112.06483125000001,114.1113,90.0031
6,snn,nsson,jetson_emulator,100,offload,0.4886178559936911,43.6417,30.8549,30.8549,32.753,62.43,112.06483125000001,112.06483125000001,111.0701,90.1037
7,snn,nsson,jetson_emulator,100,local,0.493863272813841,42.8562,30.8096,42.8562,44.918,57.9459,112.06483125000001,112.06483125000001,114.3158,90.1372
8,snn,nsson,jetson_emulator,100,local,0.48721124834192825,42.869,31.5755,42.869,45.5155,57.9432,112.06483125000001,112.06483125000001,114.418,90.0993
9,snn,nsson,jetson_emulator,100,local,0.4809637595978174,43.7166,31.3584,43.7166,46.3462,57.7638,112.06483125000001,112.06483125000001,114.5203,90.0264
10,snn,nsson,jetson_emulator,100,local,0.47549226836643377,43.912,31.6039,43.912,45.9694,57.7226,112.06483125000001,112.06483125000001,114.6225,90.0048
11,snn,nsson,jetson_emulator,100,local,0.47370466339110934,43.2631,31.3594,43.2631,45.5936,57.8596,112.06483125000001,112.06483125000001,114.7248,90.0214
12,snn,nsson,jetson_emulator,100,offload,0.4746931269951585,43.9547,31.9525,31.9525,34.6393,62.1684,112.06483125000001,112.06483125000001,111.6666,90.1184
13,snn,nsson,jetson_emulator,100,offload,0.46852021560308416,43.8487,31.2403,31.2403,32.6904,62.3379,112.06483125000001,112.06483125000001,111.7661,90.0619
14,snn,nsson,jetson_emulator,100,local,0.4637091285685952,43.4381,31.197,43.4381,44.8894,57.8226,112.06483125000001,112.06483125000001,115.0315,90.0045
15,snn,nsson,jetson_emulator,100,local,0.46280191929752984,43.3672,30.967,43.3672,44.9279,57.8376,112.06483125000001,112.06483125000001,115.1337,90.0349
16,snn,nsson,jetson_emulator,100,offload,0.46535030574726766,43.4658,31.1671,31.1671,33.7329,62.3554,112.06483125000001,112.06483125000001,112.0643,90.1047
17,snn,nsson,jetson_emulator,100,local,0.46830142307003575,44.0827,31.8221,44.0827,46.4543,57.6866,112.06483125000001,112.06483125000001,115.3382,89.9899
18,snn,nsson,jetson_emulator,100,offload,0.4673271382316255,44.4555,31.4249,31.4249,34.3324,62.2939,112.06483125000001,112.06483125000001,112.2632,90.082
19,snn,nsson,jetson_emulator,100,local,0.4607247795041597,45.2702,31.215,45.2702,48.3132,57.4378,112.06483125000001,112.06483125000001,115.5427,90.0227
20,snn,nsson,jetson_emulator,100,offload,0.45933240738534853,44.7274,31.7948,31.7948,33.8073,62.2059,112.06483125000001,112.06483125000001,112.462,90.0928
21,snn,nsson,jetson_emulator,100,offload,0.4637821075033489,44.7852,32.4728,32.4728,35.3203,62.0452,112.06483125000001,112.06483125000001,112.5615,89.9842
22,snn,nsson,jetson_emulator,100,offload,0.46843480232971835,44.4094,32.1049,32.1049,33.7418,62.1323,112.06483125000001,112.06483125000001,112.6609,90.0148
23,snn,nsson,jetson_emulator,100,offload,0.47224456468560627,44.0973,31.7216,31.7216,33.2291,62.2233,112.06483125000001,112.06483125000001,112.7603,90.0692
24,snn,nsson,jetson_emulator,100,offload,0.4696137949229284,44.1424,31.8605,31.8605,33.497,62.1903,112.06483125000001,112.06483125000001,112.8597,90.167
25,snn,nsson,jetson_emulator,100,offload,0.459754914509171,45.2692,32.0279,32.0279,33.6899,62.1505,112.06483125000001,112.06483125000001,112.9592,90.074
26,snn,nsson,jetson_emulator,100,offload,0.45958142990197,44.2821,31.9022,31.9022,34.0834,62.1804,112.06483125000001,112.06483125000001,113.0586,90.1818
27,snn,nsson,jetson_emulator,100,local,0.464734473772457,45.0923,32.6864,45.0923,46.6992,57.4749,112.06483125000001,112.06483125000001,116.3606,90.1057
28,snn,nsson,jetson_emulator,100,local,0.45487237299119343,44.8569,32.0782,44.8569,47.4186,57.5242,112.06483125000001,112.06483125000001,116.4628,90.0131
29,snn,nsson,jetson_emulator,100,offload,0.452165966536798,45.2005,32.4862,32.4862,34.9228,62.042,112.06483125000001,112.06483125000001,113.3569,90.1041
30,snn,nsson,jetson_emulator,100,offload,0.4513660415185064,45.4092,32.1615,32.1615,34.8098,62.1189,112.06483125000001,112.06483125000001,113.4563,90.1189
31,snn,nsson,jetson_emulator,100,offload,0.4536211332430428,44.7858,32.0642,32.0642,34.5888,62.1419,112.06483125000001,112.06483125000001,113.5557,90.0342
32,snn,nsson,jetson_emulator,100,local,0.4562839809979257,45.5645,32.0938,45.5645,47.4071,57.3765,112.06483125000001,112.06483125000001,116.8718,90.1137
33,snn,nsson,jetson_emulator,100,local,0.4654596513861038,44.715,32.5846,44.715,46.9552,57.5539,112.06483125000001,112.06483125000001,116.974,89.9325
