cycle,data_mb,compute_sec,idle_sec,compute_power_w,transfer_power_w,idle_power_w,total_power_wh,energy_j,mode
0,0.1,0.0201022624969482,0.0050992965698242,2.2157137901674497,0.05,0.16861656838321057,3.067455689112338e-05,0.11042840480804418,offload_only
1,0.1,0.0200824737548828,0.0050630569458007,2.217436858648669,0.05,0.16771353807435085,3.063086337513388e-05,0.11027110815048197,offload_only
2,0.1,0.0200631618499755,0.0050625801086425,2.21684518885768,0.05,0.16781437204621497,3.060340550210726e-05,0.11017225980758612,offload_only
3,0.1,0.0200855731964111,0.005061388015747,2.218152807545061,0.05,0.16768650703794946,3.0634366803699e-05,0.1102837204933164,offload_only
4,0.1,0.0201015472412109,0.005061388015747,2.219063862042825,0.05,0.16762207062093143,3.06567947069803e-05,0.1103644609451291,offload_only
5,0.1,0.0201003551483154,0.0050618648529052,2.218955624572299,0.05,0.16763962730957285,3.065533108181416e-05,0.11035919189453099,offload_only
6,0.1,0.0200979709625244,0.0050618648529052,2.218879307621844,0.05,0.1676537477494527,3.065196673075353e-05,0.1103470802307127,offload_only
7,0.1,0.0200991630554199,0.0050609111785888,2.218847384822706,0.05,0.16760980796765562,3.065327141020027e-05,0.11035177707672097,offload_only
8,0.1,0.02010178565979,0.0050618648529052,2.219160270785295,0.05,0.1676431571965486,3.0657304657830046e-05,0.11036629676818817,offload_only
9,0.1,0.0200650691986084,0.0050601959228515,2.2170676192583723,0.05,0.16773622482850004,3.0605057875315315e-05,0.11017820835113513,offload_only
