mode,cycle,offload_ratio,threshold,total_sec,power_wh,latency_ms
local_only,0,0.0,0.0,,,
local_only,1,0.0,0.0,0.0453124046325683,3.0656602647569366e-05,45.312404632568295
local_only,2,0.0,0.0,0.0452494621276855,3.060188558366549e-05,45.2494621276855
local_only,3,0.0,0.0,0.0452454090118408,3.060010737842971e-05,45.2454090118408
local_only,4,0.0,0.0,0.0452344417572021,3.0594524410035774e-05,45.2344417572021
local_only,5,0.0,0.0,0.0453052520751953,3.063117133246521e-05,45.3052520751953
local_only,6,0.0,0.0,0.0452566146850585,3.0603706836700287e-05,45.256614685058494
local_only,7,0.0,0.0,0.0452613830566406,3.060725000169538e-05,45.2613830566406
local_only,8,0.0,0.0,0.0452492237091064,3.060145179430629e-05,45.249223709106396
local_only,9,0.0,0.0,0.0452454090118408,3.0600570970111284e-05,45.2454090118408
offload_only,0,1.0,1.0,,,
offload_only,1,1.0,1.0,0.0453629493713378,3.067455689112338e-05,45.3629493713378
offload_only,2,1.0,1.0,0.0452830791473388,3.063086337513388e-05,45.283079147338796
offload_only,3,1.0,1.0,0.0452516078948974,3.060340550210726e-05,45.2516078948974
offload_only,4,1.0,1.0,0.0452754497528076,3.0634366803699e-05,45.2754497528076
offload_only,5,1.0,1.0,0.045292854309082,3.06567947069803e-05,45.292854309081996
offload_only,6,1.0,1.0,0.0452923774719238,3.065533108181416e-05,45.2923774719238
offload_only,7,1.0,1.0,0.0452885627746582,3.065196673075353e-05,45.2885627746582
offload_only,8,1.0,1.0,0.0452919006347656,3.065327141020027e-05,45.2919006347656
offload_only,9,1.0,1.0,0.0452914237976074,3.0657304657830046e-05,45.2914237976074
adaptive_no_sdn,0,1.0,0.6,,,
adaptive_no_sdn,1,0.0,0.6,0.0453753471374511,3.067721260918503e-05,45.3753471374511
adaptive_no_sdn,2,0.0,0.6,0.0453207492828369,3.0628704362445355e-05,45.3207492828369
adaptive_no_sdn,3,0.0,0.6,0.045332908630371,3.0669172604878667e-05,45.332908630370994
adaptive_no_sdn,4,0.0,0.6,0.0452737808227539,3.061940934922948e-05,45.2737808227539
adaptive_no_sdn,5,0.0,0.6,0.0452687740325927,3.0599008003870525e-05,45.268774032592695
adaptive_no_sdn,6,0.0,0.6,0.04524827003479,3.0601405435138133e-05,45.248270034789996
adaptive_no_sdn,7,0.0,0.6,0.0452444553375244,3.060075640678392e-05,45.2444553375244
adaptive_no_sdn,8,0.0,0.6,0.0452706813812255,3.060188227229638e-05,45.2706813812255
adaptive_no_sdn,9,0.0,0.6,0.0452675819396972,3.060160742865654e-05,45.2675819396972
nsson_full,0,1.0,0.6,,,
nsson_full,1,0.0,0.6,0.0453641414642334,3.067798415819795e-05,45.3641414642334
nsson_full,2,0.0,0.6,0.0453500747680664,3.06712322764926e-05,45.3500747680664
nsson_full,3,0.0,0.6,0.0453591346740722,3.067364295323683e-05,45.3591346740722
nsson_full,4,0.0,0.6,0.0453581809997558,3.067730532752134e-05,45.358180999755795
nsson_full,5,0.0,0.6,0.0454044342041015,3.06385093265109e-05,45.4044342041015
nsson_full,6,0.0,0.6,0.0453429222106933,3.067292107476123e-05,45.342922210693295
nsson_full,7,0.0,0.6,0.0452983379364013,3.064696987469975e-05,45.298337936401296
nsson_full,8,0.0,0.6,0.0453474521636962,3.0672387944327406e-05,45.3474521636962
nsson_full,9,0.0,0.6,0.0453431606292724,3.066941433482696e-05,45.3431606292724
baseline_sdn_iot,0,1.0,0.6,,,
baseline_sdn_iot,1,0.0,0.6,0.0453319549560546,3.0636509259541725e-05,45.331954956054595
baseline_sdn_iot,2,0.0,0.6,0.0453481674194335,3.067425224516119e-05,45.348167419433494
baseline_sdn_iot,3,0.0,0.6,0.045328140258789,3.065940406587378e-05,45.328140258789
baseline_sdn_iot,4,0.0,0.6,0.0453207492828369,3.065307603942008e-05,45.3207492828369
baseline_sdn_iot,5,0.0,0.6,0.0453455448150634,3.067014283604088e-05,45.3455448150634
baseline_sdn_iot,6,0.0,0.6,0.0453712940216064,3.0702157153023496e-05,45.371294021606396
baseline_sdn_iot,7,0.0,0.6,0.0453400611877441,3.0670232243008044e-05,45.3400611877441
baseline_sdn_iot,8,0.0,0.6,0.0453548431396484,3.067626555760693e-05,45.3548431396484
baseline_sdn_iot,9,0.0,0.6,0.0453579425811767,3.06784278816646e-05,45.3579425811767
