mode,load,slice,tcp_throughput_mbps,baseline_tcp_throughput_mbps,throughput_multiplier_vs_baseline,throughput_change_pct_vs_baseline,udp_jitter_ms,udp_loss_pct,udp_pdr,sla_all_met,sla_fulfillment_pct
baseline_sdn_iot,heavy,autonomous,0.266,0.266,1.0,0.0,0.025,0.0,1.0,0.0,0.0
priority_only,heavy,autonomous,0.2545,0.266,0.956766917293233,-4.323308270676695,0.025,0.0,1.0,0.0,0.0
slicing_sla,heavy,autonomous,10.0,0.266,37.59398496240601,3659.398496240601,0.007,0.0,1.0,1.0,100.0
baseline_sdn_iot,heavy,healthcare,0.255,0.255,1.0,0.0,0.024,0.0,1.0,0.0,0.0
priority_only,heavy,healthcare,0.382,0.255,1.4980392156862745,49.803921568627445,0.018,0.0,1.0,0.0,0.0
slicing_sla,heavy,healthcare,12.0,0.255,47.05882352941176,4605.882352941177,0.008,0.0,1.0,1.0,100.0
baseline_sdn_iot,heavy,industrial,0.266,0.266,1.0,0.0,0.027,0.0,1.0,0.0,0.0
priority_only,heavy,industrial,0.255,0.266,0.9586466165413533,-4.135338345864665,0.027,0.0,1.0,0.0,0.0
slicing_sla,heavy,industrial,5.735,0.266,21.56015037593985,2056.0150375939847,0.005,0.0,1.0,1.0,100.0
baseline_sdn_iot,light,autonomous,5.24,5.24,1.0,0.0,0.013,0.0,1.0,0.0,0.0
priority_only,light,autonomous,5.24,5.24,1.0,0.0,0.021,0.0,1.0,0.0,0.0
slicing_sla,light,autonomous,10.9,5.24,2.0801526717557253,108.01526717557252,0.013,0.0,1.0,1.0,100.0
baseline_sdn_iot,light,healthcare,5.24,5.24,1.0,0.0,0.015,0.0,1.0,0.0,0.0
priority_only,light,healthcare,5.24,5.24,1.0,0.0,0.033,0.0,1.0,0.0,0.0
slicing_sla,light,healthcare,8.34,5.24,1.5916030534351144,59.16030534351144,0.017,0.0,1.0,1.0,100.0
baseline_sdn_iot,light,industrial,6.29,6.29,1.0,0.0,0.01,0.0,1.0,1.0,100.0
priority_only,light,industrial,5.24,6.29,0.8330683624801272,-16.693163751987278,0.023,0.0,1.0,1.0,100.0
slicing_sla,light,industrial,7.27,6.29,1.1558028616852145,15.580286168521456,0.012,0.0,1.0,1.0,100.0
baseline_sdn_iot,moderate,autonomous,2.1,2.1,1.0,0.0,0.03,0.0,1.0,0.0,0.0
priority_only,moderate,autonomous,2.1,2.1,1.0,0.0,0.026,0.0,1.0,0.0,0.0
slicing_sla,moderate,autonomous,11.5,2.1,5.476190476190476,447.6190476190476,0.013,0.0,1.0,1.0,100.0
baseline_sdn_iot,moderate,healthcare,2.58,2.58,1.0,0.0,0.025,0.0,1.0,0.0,0.0
priority_only,moderate,healthcare,2.1,2.58,0.813953488372093,-18.6046511627907,0.031,0.0,1.0,0.0,0.0
slicing_sla,moderate,healthcare,8.34,2.58,3.2325581395348837,223.25581395348837,0.017,0.0,1.0,1.0,100.0
baseline_sdn_iot,moderate,industrial,2.05,2.05,1.0,0.0,0.028,0.0,1.0,0.0,0.0
priority_only,moderate,industrial,2.1,2.05,1.024390243902439,2.4390243902439157,0.033,0.0,1.0,0.0,0.0
slicing_sla,moderate,industrial,7.82,2.05,3.8146341463414637,281.4634146341464,0.011,0.0,1.0,1.0,100.0
