mode,load,slice,tcp_throughput_mbps,udp_jitter_ms,udp_loss_pct,udp_pdr,sla_all_met
baseline_sdn_iot,heavy,autonomous,0.266,0.025,0.0,1.0,0.0
baseline_sdn_iot,heavy,healthcare,0.255,0.024,0.0,1.0,0.0
baseline_sdn_iot,heavy,industrial,0.266,0.027,0.0,1.0,0.0
baseline_sdn_iot,light,autonomous,5.24,0.013,0.0,1.0,0.0
baseline_sdn_iot,light,healthcare,5.24,0.015,0.0,1.0,0.0
baseline_sdn_iot,light,industrial,6.29,0.01,0.0,1.0,1.0
baseline_sdn_iot,moderate,autonomous,2.1,0.03,0.0,1.0,0.0
baseline_sdn_iot,moderate,healthcare,2.58,0.025,0.0,1.0,0.0
baseline_sdn_iot,moderate,industrial,2.05,0.028,0.0,1.0,0.0
priority_only,heavy,autonomous,0.2545,0.025,0.0,1.0,0.0
priority_only,heavy,healthcare,0.382,0.018,0.0,1.0,0.0
priority_only,heavy,industrial,0.255,0.027,0.0,1.0,0.0
priority_only,light,autonomous,5.24,0.021,0.0,1.0,0.0
priority_only,light,healthcare,5.24,0.033,0.0,1.0,0.0
priority_only,light,industrial,5.24,0.023,0.0,1.0,1.0
priority_only,moderate,autonomous,2.1,0.026,0.0,1.0,0.0
priority_only,moderate,healthcare,2.1,0.031,0.0,1.0,0.0
priority_only,moderate,industrial,2.1,0.033,0.0,1.0,0.0
slicing_sla,heavy,autonomous,10.0,0.007,0.0,1.0,1.0
slicing_sla,heavy,healthcare,12.0,0.008,0.0,1.0,1.0
slicing_sla,heavy,industrial,5.735,0.005,0.0,1.0,1.0
slicing_sla,light,autonomous,10.9,0.013,0.0,1.0,1.0
slicing_sla,light,healthcare,8.34,0.017,0.0,1.0,1.0
slicing_sla,light,industrial,7.27,0.012,0.0,1.0,1.0
slicing_sla,moderate,autonomous,11.5,0.013,0.0,1.0,1.0
slicing_sla,moderate,healthcare,8.34,0.017,0.0,1.0,1.0
slicing_sla,moderate,industrial,7.82,0.011,0.0,1.0,1.0
