cycle,data_mb,compute_sec,idle_sec,compute_power_w,transfer_power_w,idle_power_w,total_power_wh,energy_j,mode
0,0.1,0.0201044082641601,0.0050981044769287,2.2153448438928502,0.05,0.16853109007030326,3.067721260918503e-05,0.1104379653930661,adaptive_no_sdn
1,0.1,0.020068883895874,0.0051019191741943,2.2140944504942404,0.05,0.1688603759291689,3.0628704362445355e-05,0.11026333570480329,adaptive_no_sdn
2,0.1,0.0201036930084228,0.0050826072692871,2.2173398548437984,0.05,0.1681760807825813,3.0669172604878667e-05,0.1104090213775632,adaptive_no_sdn
3,0.1,0.0200746059417724,0.0050621032714843,2.217023360647098,0.05,0.16771638615633905,3.061940934922948e-05,0.11022987365722613,adaptive_no_sdn
4,0.1,0.0200598239898681,0.0050625801086425,2.2156358790968573,0.05,0.1677507360260364,3.0599008003870525e-05,0.11015642881393388,adaptive_no_sdn
5,0.1,0.02006196975708,0.0050618648529052,2.2168769923861142,0.05,0.16780304028242254,3.0601405435138133e-05,0.11016505956649728,adaptive_no_sdn
6,0.1,0.02006196975708,0.0050604343414306,2.2170639040096036,0.05,0.16776976218454862,3.060075640678392e-05,0.11016272306442211,adaptive_no_sdn
7,0.1,0.020059585571289,0.0050702095031738,2.215516197157134,0.05,0.1679964609040488,3.060188227229638e-05,0.11016677618026698,adaptive_no_sdn
8,0.1,0.0200622081756591,0.0050609111785888,2.215957570075732,0.05,0.1676998514741956,3.060160742865654e-05,0.11016578674316355,adaptive_no_sdn
9,0.1,0.0201032161712646,0.0051040649414062,2.2168558763678017,0.05,0.1688532262050601,3.0677573548422824e-05,0.11043926477432217,adaptive_no_sdn
