cycle,theta,L_bar,P_bar,A_bar,mode
0,0.5454652726789314,0.0453319549560546,3.0636509259541725e-05,1.0,baseline_sdn_iot
1,0.5454644611121879,0.045340061187744043,3.065538075235146e-05,1.0,baseline_sdn_iot
2,0.5454648584094312,0.045336087544759034,3.06567218568589e-05,1.0,baseline_sdn_iot
3,0.5454652419115519,0.045332252979278495,3.0655810402499194e-05,1.0,baseline_sdn_iot
4,0.555464975931512,0.045334911346435476,3.065867688920753e-05,0.8,baseline_sdn_iot
5,0.5621310358579236,0.04534097512563063,3.066592359984352e-05,0.6666666666666666,baseline_sdn_iot
6,0.5597500965024508,0.04534084456307541,3.06665391202956e-05,0.7142857142857143,baseline_sdn_iot
7,0.5579642071737391,0.04534259438514703,3.0667754924959516e-05,0.75,baseline_sdn_iot
8,0.5621307032456001,0.04534429974026144,3.066894080903786e-05,0.6666666666666666,baseline_sdn_iot
9,0.5604646155128048,0.04533851146697991,3.066680994298713e-05,0.7,baseline_sdn_iot
