cycle,theta,L_bar,P_bar,A_bar,mode
0,0.5454620519543687,0.0453641414642334,3.067798415819795e-05,1.0,nsson_full
1,0.5454627554579741,0.0453571081161499,3.0674608217345274e-05,1.0,nsson_full
2,0.5454626879221312,0.04535778363545734,3.067428646264246e-05,1.0,nsson_full
3,0.5454626779502878,0.045357882976531955,3.067504117886218e-05,1.0,nsson_full
4,0.5554617472910549,0.04536719322204587,3.066773480839192e-05,0.8,nsson_full
5,0.5621288184313586,0.0453631480534871,3.066859918612014e-05,0.6666666666666666,nsson_full
6,0.5597487920637169,0.04535388946533199,3.066550928448865e-05,0.7142857142857143,nsson_full
7,0.5579631582012814,0.045353084802627515,3.06663691169685e-05,0.75,nsson_full
8,0.5621299351196231,0.04535198211669917,3.0666707474508326e-05,0.6666666666666666,nsson_full
9,0.5604630204011334,0.04535446166992182,3.066863748762336e-05,0.7,nsson_full
