epoch,train_loss,train_acc
1,1.802308,0.340980
2,1.274975,0.536140
3,0.976520,0.648480
4,0.802408,0.717660
5,0.666404,0.766940
6,0.599488,0.791960
7,0.546041,0.812040
8,0.515352,0.823660
9,0.489836,0.831840
10,0.465942,0.838820
11,0.455590,0.844680
12,0.437004,0.851540
13,0.426848,0.854100
14,0.414323,0.856600
15,0.402662,0.862140
16,0.392904,0.866660
17,0.398537,0.863820
18,0.386862,0.868200
19,0.379914,0.870400
20,0.375764,0.869760
21,0.376890,0.872520
22,0.367440,0.875540
23,0.361828,0.876300
24,0.360773,0.876500
25,0.351202,0.882200
26,0.355749,0.880400
27,0.351695,0.881400
28,0.355132,0.879120
29,0.346473,0.883440
30,0.347211,0.882740
31,0.345543,0.881420
32,0.343734,0.883640
33,0.340217,0.883280
34,0.336349,0.885160
35,0.335872,0.887340
36,0.340325,0.884380
37,0.339394,0.884140
38,0.337521,0.884180
39,0.327487,0.889340
40,0.335992,0.886220
41,0.329152,0.887780
42,0.333729,0.885300
43,0.336360,0.885680
44,0.331829,0.887620
45,0.332432,0.885880
46,0.327466,0.890180
47,0.328810,0.887740
48,0.329309,0.888340
49,0.323180,0.889200
50,0.324192,0.890760
51,0.329055,0.887500
52,0.319681,0.890640
53,0.326823,0.887380
54,0.317449,0.893280
55,0.318705,0.890780
56,0.326090,0.888720
57,0.315057,0.893460
58,0.330450,0.888060
59,0.320322,0.891060
60,0.312421,0.893940
61,0.162425,0.945220
62,0.117121,0.960420
63,0.101120,0.964620
64,0.089166,0.969880
65,0.084726,0.971320
66,0.080436,0.973220
67,0.084944,0.970580
68,0.082228,0.971740
69,0.079655,0.973400
70,0.084214,0.971500
71,0.084073,0.971400
72,0.085912,0.971020
73,0.087706,0.970320
74,0.090965,0.968340
75,0.088671,0.970340
76,0.092478,0.967800
77,0.091607,0.968840
78,0.089946,0.969320
79,0.094223,0.968160
80,0.096713,0.966440
81,0.090482,0.969300
82,0.097615,0.966420
83,0.095148,0.967080
84,0.096944,0.967720
85,0.092994,0.968780
86,0.095692,0.967140
87,0.096004,0.968200
88,0.092447,0.968420
89,0.090482,0.969180
90,0.092139,0.968720
91,0.097873,0.966580
92,0.093061,0.968140
93,0.089151,0.969940
94,0.088624,0.970000
95,0.092300,0.968340
96,0.089441,0.970040
97,0.087619,0.969820
98,0.093651,0.968180
99,0.087304,0.970320
100,0.087498,0.970860
101,0.087268,0.970340
102,0.091536,0.969140
103,0.091084,0.969000
104,0.086341,0.970840
105,0.089239,0.969100
106,0.086644,0.970880
107,0.089032,0.969280
108,0.088820,0.969780
109,0.082434,0.972800
110,0.083722,0.971560
111,0.083012,0.972360
112,0.083584,0.971620
113,0.090969,0.968980
114,0.082388,0.971440
115,0.083361,0.973120
116,0.088055,0.969640
117,0.084050,0.971760
118,0.085278,0.971600
119,0.081756,0.972400
120,0.080673,0.972700
121,0.031757,0.990360
122,0.016282,0.995500
123,0.012363,0.997140
124,0.008336,0.998380
125,0.007918,0.998340
126,0.007830,0.998320
127,0.006899,0.998620
128,0.005976,0.998600
129,0.005504,0.998980
130,0.004727,0.999340
131,0.005048,0.999020
132,0.004625,0.999140
133,0.004297,0.999380
134,0.003970,0.999460
135,0.004323,0.999400
136,0.003749,0.999480
137,0.003531,0.999600
138,0.003114,0.999640
139,0.003332,0.999480
140,0.003218,0.999600
141,0.003475,0.999440
142,0.003362,0.999480
143,0.003162,0.999640
144,0.003189,0.999580
145,0.002956,0.999600
146,0.002664,0.999820
147,0.003576,0.999400
148,0.003213,0.999520
149,0.002707,0.999780
150,0.002764,0.999700
151,0.002850,0.999680
152,0.002587,0.999820
153,0.002656,0.999740
154,0.002658,0.999740
155,0.002839,0.999660
156,0.002710,0.999800
157,0.002479,0.999860
158,0.002937,0.999700
159,0.002715,0.999780
160,0.002574,0.999800
161,0.002427,0.999820
162,0.002327,0.999860
163,0.002161,0.999840
164,0.002157,0.999920
165,0.002172,0.999920
166,0.002011,0.999920
167,0.001927,0.999940
168,0.001957,0.999940
169,0.001965,0.999920
170,0.002137,0.999940
171,0.001880,0.999960
172,0.002033,0.999900
173,0.001859,0.999960
174,0.001885,0.999940
175,0.001918,0.999960
176,0.001867,0.999940
177,0.002126,0.999880
178,0.001830,0.999980
179,0.001983,0.999900
180,0.001993,0.999940
